timestamp,temp,humid,co2,light,class,trip_id,fruit_cate,latitude,longitude,speed_knots,Route,temperature_C,humidity_%,dew_point_C,pressure_hPa,wind_speed_kmh,precipitation_mm,failure_scenario
2024-02-01 22:25:52+00:00,24.94497655108361,89.2577165362252,350.9701783456599,20.473860833744823,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 22:35:52+00:00,24.930127009300836,88.93792640986362,351.7542313364969,17.98903711025537,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 22:45:52+00:00,25.08283584641408,88.53540766653472,352.57161301966454,20.079831812215705,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 22:55:52+00:00,25.067485278771223,88.78610354319832,353.39319880282073,19.46818258978177,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 23:05:52+00:00,25.10903197898994,88.61601174902846,354.22306691773133,20.142464602386656,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 23:15:52+00:00,25.221653733519304,88.94762722584778,355.2476773782006,19.47487714886999,Good,TRIP_00030,Banana,10.745350320614769,106.70465038425549,0.0,VNSGN-USCHI,23.9,89.0,22.0,1012.3,8.4,0.0,GOOD
2024-02-01 23:25:52+00:00,24.92673756097825,89.55971180578092,355.9709009358989,20.77919263451501,Good,TRIP_00030,Banana,10.625066607298464,106.80218142416246,9.23,VNSGN-USCHI,24.75,85.25,22.05,1013.2,12.625,0.0,GOOD
2024-02-01 23:35:52+00:00,25.26337571914184,89.18655945736471,356.6883572450397,19.613527049435444,Good,TRIP_00030,Banana,10.625066607298464,106.80218142416246,9.23,VNSGN-USCHI,24.75,85.25,22.05,1013.2,12.625,0.0,GOOD
2024-02-01 23:45:52+00:00,25.22762135434094,88.6477732748117,357.4863789131724,18.62206069617752,Good,TRIP_00030,Banana,10.625066607298464,106.80218142416246,9.23,VNSGN-USCHI,24.75,85.25,22.05,1013.2,12.625,0.0,GOOD
2024-02-01 23:55:52+00:00,25.14519514436513,89.03332863925431,358.4398015237006,19.82371433807424,Good,TRIP_00030,Banana,10.625066607298464,106.80218142416246,9.23,VNSGN-USCHI,24.75,85.25,22.05,1013.2,12.625,0.0,GOOD
