trip_id,carrier,start_time,end_time,duration_hours,origin,destination,product_id,unit_quantity,weight,service_level,priority,plant_code,expected_delay_min,target_temp_c,distance_km,trip_id_raw,fruit_cate,Route,tpt_days,start_month,start_year,year_month
TRIP_10984,V444_0,2024-02-15 00:31:53+00:00,2024-03-20 04:31:53+00:00,820.0,VNHPH,USMIA,1002,255,0.182415257880626,DTP,low,PLANT03,6,12.0,32800.0,1447181235.7,Tomato,VNHPH-USMIA,34.17,2,2024,2024-02
TRIP_133171,V444_1,2024-02-15 00:53:25+00:00,2024-02-20 04:53:25+00:00,124.0,VNHPH,CNQZH,1004,511,19.390105994323545,DTD,high,PLANT03,9,7.0,4960.0,1447318094.7,Pineapple,VNHPH-CNQZH,5.17,2,2024,2024-02
TRIP_93027,V444_1,2024-02-15 00:58:10+00:00,2024-02-21 11:58:10+00:00,155.0,VNSGN,KRPUS,1004,970,3.243892343213792,DTD,high,PLANT03,7,7.0,6200.0,1447178779.7,Pineapple,VNSGN-KRPUS,6.46,2,2024,2024-02
TRIP_134317,V444_1,2024-02-15 01:11:51+00:00,2024-02-21 07:11:51+00:00,150.0,VNHPH,CNSHA,1004,1291,74.47978763102167,DTD,low,PLANT03,3,7.0,6000.0,1447411641.7,Pineapple,VNHPH-CNSHA,6.25,2,2024,2024-02
TRIP_133412,V444_1,2024-02-15 01:19:28+00:00,2024-02-21 04:19:28+00:00,147.0,VNSGN,KRPUS,1003,278,1.1941729919378825,DTD,high,PLANT03,1,2.0,5880.0,1447184230.7,Orange,VNSGN-KRPUS,6.12,2,2024,2024-02
TRIP_04142,V444_0,2024-02-15 01:38:05+00:00,2024-02-24 15:38:05+00:00,230.0,VNSGN,KRPUS,1001,341,4.40449246755705,DTP,low,PLANT03,10,13.0,9200.0,1447236165.7,Banana,VNSGN-KRPUS,9.58,2,2024,2024-02
TRIP_29237,V444_0,2024-02-15 01:44:13+00:00,2024-02-23 13:44:13+00:00,204.0,VNSGN,KRINC,1003,928,25.516590306502327,DTP,low,PLANT03,1,2.0,8160.0,1447424606.7,Orange,VNSGN-KRINC,8.5,2,2024,2024-02
TRIP_19552,V444_0,2024-02-15 01:49:20+00:00,2024-02-22 17:49:20+00:00,184.0,VNSGN,CNSHA,1001,367,1.0912000000000002,DTP,high,PLANT03,1,13.0,7360.0,1447170691.7,Banana,VNSGN-CNSHA,7.67,2,2024,2024-02
TRIP_57251,V444_0,2024-02-15 01:55:08+00:00,2024-02-23 20:55:08+00:00,211.0,VNSGN,KRINC,1002,263,0.9187701437055892,DTP,low,PLANT03,1,12.0,8440.0,1447241093.7,Tomato,VNSGN-KRINC,8.79,2,2024,2024-02
TRIP_89650,V444_1,2024-02-15 02:02:07+00:00,2024-02-22 03:02:07+00:00,169.0,VNHPH,CNSHA,1004,822,15.44,DTD,high,PLANT03,7,7.0,6760.0,1447167707.7,Pineapple,VNHPH-CNSHA,7.04,2,2024,2024-02
TRIP_52735,V444_0,2024-02-15 02:12:30+00:00,2024-03-22 14:12:30+00:00,876.0,VNSGN,USMIA,1003,383,1.1545001465845792,DTP,low,PLANT03,8,2.0,35040.0,1447198605.7,Orange,VNSGN-USMIA,36.5,2,2024,2024-02
TRIP_125247,V444_1,2024-02-15 02:14:54+00:00,2024-02-22 22:14:54+00:00,188.0,VNHPH,CNQZH,1004,383,9.1207628940313,DTD,high,PLANT03,2,7.0,7520.0,1447343145.7,Pineapple,VNHPH-CNQZH,7.83,2,2024,2024-02
TRIP_51943,V444_0,2024-02-15 02:35:13+00:00,2024-02-19 13:35:13+00:00,107.0,VNSGN,CNSHA,1001,374,4.24,DTP,low,PLANT03,7,13.0,4280.0,1447233393.7,Banana,VNSGN-CNSHA,4.46,2,2024,2024-02
TRIP_12381,V444_0,2024-02-15 02:47:27+00:00,2024-02-26 01:47:27+00:00,263.0,VNSGN,KRPUS,1002,313,0.7662544164301477,DTP,low,PLANT03,5,12.0,10520.0,1447187885.7,Tomato,VNSGN-KRPUS,10.96,2,2024,2024-02
TRIP_04374,V444_0,2024-02-15 02:56:40+00:00,2024-02-21 21:56:40+00:00,163.0,VNSGN,KRPUS,1002,298,4.40449246755705,DTP,low,PLANT03,3,12.0,6520.0,1447334865.7,Tomato,VNSGN-KRPUS,6.79,2,2024,2024-02
TRIP_07931,V444_0,2024-02-15 03:08:38+00:00,2024-02-22 11:08:38+00:00,176.0,VNHPH,CNSHA,1004,642,7.68,DTP,low,PLANT03,1,7.0,7040.0,1447396912.7,Pineapple,VNHPH-CNSHA,7.33,2,2024,2024-02
TRIP_83721,V444_1,2024-02-15 03:16:08+00:00,2024-02-21 22:16:08+00:00,163.0,VNSGN,CNSHA,1004,781,46.32,DTD,low,PLANT03,7,7.0,6520.0,1447145174.7,Pineapple,VNSGN-CNSHA,6.79,2,2024,2024-02
TRIP_28859,V444_0,2024-02-15 03:19:03+00:00,2024-02-21 18:19:03+00:00,159.0,VNHPH,CNQZH,1002,1290,82.22,DTP,low,PLANT03,2,12.0,6360.0,1447152772.7,Tomato,VNHPH-CNQZH,6.62,2,2024,2024-02
TRIP_89207,V444_1,2024-02-15 03:19:42+00:00,2024-03-23 02:19:42+00:00,887.0,VNSGN,USMIA,1003,1932,30.62,DTD,high,PLANT03,6,2.0,35480.0,1447228695.7,Orange,VNSGN-USMIA,36.96,2,2024,2024-02
TRIP_53691,V444_0,2024-02-15 03:19:43+00:00,2024-03-16 14:19:43+00:00,731.0,VNSGN,USCHI,1001,1279,30.99262790136219,DTP,low,PLANT03,6,13.0,29240.0,1447206419.7,Banana,VNSGN-USCHI,30.46,2,2024,2024-02
TRIP_65634,V444_1,2024-02-15 03:23:53+00:00,2024-02-21 06:23:53+00:00,147.0,VNHPH,CNQZH,1003,350,2.719137466307277,DTD,low,PLANT12,6,2.0,5880.0,1447286375.7,Orange,VNHPH-CNQZH,6.12,2,2024,2024-02
TRIP_06115,V444_0,2024-02-15 03:31:03+00:00,2024-02-19 14:31:03+00:00,107.0,VNHPH,CNQZH,1002,443,14.3,DTP,low,PLANT03,3,12.0,4280.0,1447185656.7,Tomato,VNHPH-CNQZH,4.46,2,2024,2024-02
TRIP_104051,V444_1,2024-02-15 03:37:20+00:00,2024-02-23 03:37:20+00:00,192.0,VNDAD,KRPUS,1001,320,0.7231919711448846,DTD,low,PLANT03,1,13.0,7680.0,1447392938.7,Banana,VNDAD-KRPUS,8.0,2,2024,2024-02
TRIP_02560,V444_0,2024-02-15 03:53:57+00:00,2024-03-22 23:53:57+00:00,884.0,VNHPH,USMIA,1003,405,35.4036231884058,DTP,low,PLANT12,2,2.0,35360.0,1447174175.7,Orange,VNHPH-USMIA,36.83,2,2024,2024-02
TRIP_02118,V444_0,2024-02-15 04:03:31+00:00,2024-02-21 04:03:31+00:00,144.0,VNSGN,CNSHA,1003,310,1.6747232472324725,DTP,low,PLANT12,5,2.0,5760.0,1447391565.7,Orange,VNSGN-CNSHA,6.0,2,2024,2024-02
TRIP_26559,V444_0,2024-02-15 04:11:48+00:00,2024-02-23 02:11:48+00:00,190.0,VNDAD,KRPUS,1001,10254,27.68,DTP,low,PLANT03,6,13.0,7600.0,1447149328.7,Banana,VNDAD-KRPUS,7.92,2,2024,2024-02
TRIP_42331,V444_0,2024-02-15 04:16:09+00:00,2024-02-22 21:16:09+00:00,185.0,VNSGN,CNSHA,1003,1467,0.6938796283222846,DTP,low,PLANT03,3,2.0,7400.0,1447234954.7,Orange,VNSGN-CNSHA,7.71,2,2024,2024-02
